Date,Time,Title,Location,Description,Formats,Topics,Audience,Skill Level,Speakers
"July 08, 2024",12:45 - 1:45PM,PRE-CON TRAINING: Grades,202 ABCD,"Curious how to set up a new gradebook in Brightspace? In this session, we will explore setting up your gradebook, grade categories and grade items to support course evaluation requirements. Discover grading using schemes, weighted or points values as we demonstrate grading.",Pre-Conference Training,"D2L Brightspace Training, D2L Solutions How To's/Tips and Tricks","Higher Education, K-12",Intermediate,<p><strong>Jacqueline Nelles</strong><br />D2L</p>
"July 08, 2024",2:00 - 3:00PM,PRE-CON TRAINING: Assignments,202 ABCD,"Need a place for students to submit papers and projects? In this session, we will share effective practices for creating and managing assignments including the different options and settings such as availability dates, release conditions, special access and submission types.",Pre-Conference Training,"D2L Brightspace Training, D2L Solutions How To's/Tips and Tricks","Association & Training Organizations, Higher Education, K-12",Intermediate,<p><strong>Jacqueline Nelles</strong><br />D2L</p>
"July 08, 2024",2:00 - 3:00PM,PRE-CON TRAINING: Bring Discussions to Life- Part II,206 CDEF,"Explore the best practices for moderating discussions in your course using statistics, groups and release conditions for both blended and online learning.",Pre-Conference Training,"Blended Learning or Hy-Flex, D2L Brightspace Training, D2L Solutions How To's/Tips and Tricks","Association & Training Organizations, Corporate Learning, Higher Education, K-12",Advanced,<p><strong>Popsann Francis</strong><br />D2L</p>
"July 08, 2024",2:00 - 3:30PM,MAIN CONFERENCE REGISTRATION + Refreshments,Registration Foyer,,,,,,
"July 08, 2024",2:00 - 3:00PM,PRE-CON TRAINING: Quizzes,205 ABCD,Comprehension check. Midterm. Final review. What do they have in common? They can all be created in Brightspace Quizzes. Join us as we explore how to build a quiz in your course.,Pre-Conference Training,"D2L Brightspace Training, D2L Solutions How To's/Tips and Tricks, Student/Learner Success","Higher Education, K-12",Novice,<p><strong>Katarina Raznatovic</strong><br />D2L</p>
"July 08, 2024",2:15 - 3:15PM,"LES: By Students, for Faculty: A Rapid Brightspace Implementation",Mainstage Foyer,"In early 2023 we were given the mandate to rapidly transition to Brightspace. We developed an innovative plan to deliver quality course content very quickly to our faculty. This presentation will share the steps we took to organize, implement, and successfully transition to Brightspace using a diverse pool of local and international student workers.",Learning Exchange Showcase (60 minutes),LMS Site Admin and IT Effectiveness,Higher Education,Novice,<p><strong>Dede Hourican</strong><br />Marist College</p><p><strong>Sai Chandrika Neradabilli</strong><br />Marist College</p>
"July 08, 2024",2:15 - 3:15PM,LES: Crafting Inclusive Online Learning: UDL and Brightspace for Educators,Mainstage Foyer,"In the fast-paced world of online education, creating inclusive learning environments that cater to the needs of every learner is paramount. Join us for an exciting dive into the fusion of universal design for learning (UDL) principles with the Brightspace learning management system (LMS) your ticket to revolutionizing online content creation. By leveraging the inherent adaptability and versatility of Brightspace, educators will get hands-on practical tips on making learning flexible, accessible and equitable. From personalizing learning adventures to crafting content that speaks to every learning style, this session is all about making your online courses more engaging and accessible.",Learning Exchange Showcase (60 minutes),Accessibility and Inclusive Learning,K-12,Novice,<p><strong>Shannon Hagen</strong><br />SD71-Comox Valley</p>
"July 08, 2024",2:15 - 3:15PM,LES: Integrating Mental Wellness Education Into Ongoing Curriculum,Mainstage Foyer,"Educators' plates to teach the core curriculum they are responsible for is already overflowing yet they are continually asked to add more. A deep caring for students and a push for more trauma-informed practices warrants turn-key options to help educators reach their students while continuing to deliver course content. Such an option exists and is proving to be effective in creating meaningful conversations about mental health, aiding students reach out for help as needed and encouraging an atmosphere of respect within the classroom. A Living Curriculum: Stories of Life Through Darkness will be presented. Attendees will have the opportunity of viewing and interacting with the program.",Learning Exchange Showcase (60 minutes),"Health, Sustainability and Wellness",K-12,Intermediate,<p><strong>Linda Poulin</strong><br />The Robb Nash Project</p><p><strong>Steve Smith</strong><br />The Robb Nash Project</p>
"July 08, 2024",2:15 - 3:15PM,LES: Making Designer Choices: How to Bridge Practice and Pedagogy,Mainstage Foyer,"This session will explore the intersection of instructional design and instructor training. By exploring how instructional designers craft immersive learning experiences within their own classes, we can uncover valuable insights for instructor training methodologies. Through survey results and practical examples, attendees will gain actionable strategies to elevate teaching and learning experiences within their institutions. Whether you're an instructional designer, instructor or administrator, this session will help identify and explore the transformative potential of merging pedagogy with practice in the realm of instructor training.",Learning Exchange Showcase (60 minutes),Faculty and Trainer Development,Higher Education,Novice,<p><strong>Allison Pelletier</strong><br />DePaul University</p><p><strong>Carolyn Vos</strong><br />DePaul University</p>
"July 08, 2024",2:15 - 3:15PM,LES: One Size Doesn't Fit All,Mainstage Foyer,"<span class=""TextRun SCXW209250707 BCX0"" lang=""EN-US"" xml:lang=""EN-US"" data-contrast=""none""><span class=""NormalTextRun SCXW209250707 BCX0"">Unlocking the full potential of education means prioritizing and recognizing the diverse needs of learners. We know individuals absorb information in unique ways</span><span class=""NormalTextRun SCXW209250707 BCX0""> and</span><span class=""NormalTextRun SCXW209250707 BCX0""> acknowledging and addressing these distinct learning requirements is paramount. To champion learner's needs, we chose to embark on a journey toward creating an educational environment that nurtures growth and confidence.&nbsp;</span></span>",Learning Exchange Showcase (60 minutes),Learner Engagement,Association & Training Organizations,Intermediate,<p><strong>Marv Funk</strong><br />UFCW Canada</p>
"July 08, 2024",2:15 - 3:15PM,LES: Shifting Perspectives: Embracing Process-Centric Learning Models and Assessments,Mainstage Foyer,"<span class=""TextRun SCXW166256103 BCX0"" lang=""EN-US"" xml:lang=""EN-US"" data-contrast=""none""><span class=""NormalTextRun SCXW166256103 BCX0"">Dive into two use cases that </span><span class=""NormalTextRun SCXW166256103 BCX0"">utilize</span><span class=""NormalTextRun SCXW166256103 BCX0""> elements of personalized learning, stakeholder engagement</span><span class=""NormalTextRun SCXW166256103 BCX0""> and</span><span class=""NormalTextRun SCXW166256103 BCX0""> inclusive decision-making in building bespoke learning and l/earner assessment worlds. Explore forms of l/earner partnerships, discuss prioritizing diverse perspectives</span><span class=""NormalTextRun SCXW166256103 BCX0""> and</span><span class=""NormalTextRun SCXW166256103 BCX0""> foster transparency throughout the process. Explore steps towards building </span><span class=""NormalTextRun SCXW166256103 BCX0"">equitable</span><span class=""NormalTextRun SCXW166256103 BCX0""> paths toward professional realization.&nbsp;</span></span><span class=""EOP SCXW166256103 BCX0"" data-ccp-props=""{&quot;134233117&quot;:false,&quot;134233118&quot;:false,&quot;335551550&quot;:1,&quot;335551620&quot;:1,&quot;335559738&quot;:0,&quot;335559739&quot;:0}"">&nbsp;</span>",Learning Exchange Showcase (60 minutes),Personalized Learning,Association & Training Organizations,Intermediate,<p><strong>Nishita Chheda</strong><br />Education Design Lab</p><p><strong>Sabina Sariyska</strong><br />Education Design Lab</p>
"July 08, 2024",2:15 - 3:15PM,LES: Template Mastery: Course Chaos Conquered!,Mainstage Foyer,"Unlock the secrets of Template Mastery in our transformative session, &ldquo;Course Chaos Conquered.&rdquo; Learn efficient strategies to streamline content creation and enhance organization. Elevate your skills, conquer chaos and leave with actionable takeaways for effective and creative course development.",Learning Exchange Showcase (60 minutes),Leadership and Organizational Strategy,Association & Training Organizations,Intermediate,<p><strong>Angie Gomez</strong><br />University of Florida - Lastinger Center for Learning</p><p><strong>Catesby Willis</strong><br />University of Florida - Lastinger Center for Learning</p>
"July 08, 2024",2:15 - 3:15PM,LES: Using PostMan for Bulk Changes in Brightspace!,Mainstage Foyer,"<p>Brightspace is a fantastic system with many options to make mass changes; however, methods like REST API calls can be intimidating! We have found an extremely useful and reliable method to leverage PostMan to make these bulk changes with easy an easy-to-follow guide on how we tackle a major impact event every semester, Course Activations. While some institutions may not need to leverage a tool in this way, Dallas College uses PostMan to provide students ""early access"" to roughly 13,000 courses each term using this semi-automated process. Courses are opened the Wednesday prior to the official start date in order to provide students extra time to review syllabi, view their digital textbook, and browse through available content and activities. Additionally, course end dates are managed through PostMan to allow students additional time to check their grades and/or complete any late work allowed by their instructors. The best part is that this is well within the free use of the PostMan tool!</p><p>Take a journey with the Dallas College LMS System Admins and let us show you the magic and fun of using PostMan to save time, headaches, and your sanity!</p>",Learning Exchange Showcase (60 minutes),LMS Site Admin and IT Effectiveness,Higher Education,Advanced,<p><strong>Angela Bryant</strong><br />Dallas College</p><p><strong>Kyler Copsey</strong><br />Dallas College</p>
"July 08, 2024",2:15 - 3:15PM,LES: Using Rubrics in Your Course for Consistent and Standardized Grading,Mainstage Foyer,Are your students asking lots of questions about assignments and how they are graded? &ldquo;Why did I get that grade?&rdquo; Providing a rubric to help answer students&rsquo; questions about how assignments will be graded before they submit an assignment will help answer those questions for you. Rubrics can help standardize grading and create a more consistent way to grade assignments and discussions. Come join this session and see how rubrics can help you.,Learning Exchange Showcase (60 minutes),Accessibility and Inclusive Learning,Higher Education,Novice,<p><strong>Terri Brown</strong><br />East Georgia State College</p>
"July 08, 2024",2:15 - 3:15PM,LES: When Practical Meets Lofty: Leveraging Professional Development Workshops to Positively Increase Learning Outcomes,Mainstage Foyer,An interactive session in which the facilitators aim to demonstrate how two of their workshop formats can be leveraged in order to increase educator learning outcomes. The session is part presentation of the real-world context of these two workshops and the team that coordinates them and part collaborative conversation with attendees how the concepts presented might be leveraged at their institutions.,Learning Exchange Showcase (60 minutes),Faculty and Trainer Development,Higher Education,Intermediate,<p><strong>Adam Ragan Amodeo</strong><br />University of Arizona</p><p><strong>Amy Hamman</strong><br />University of Arizona</p><p><strong>Lara Tarantini</strong><br />University of Arizona</p>
"July 08, 2024",2:15 - 3:15PM,LES: Demo Student: A True Learner Experience for Instructors,Mainstage Foyer,"Brightspace includes excellent &ldquo;View As&rdquo; functionality allowing instructors to see the Learner perspective of their courses. However, &ldquo;View As&rdquo; does not provide an accurate representation of some Brightspace tools and functions. Purdue built a true Demo Student that can be added by any instructor to any course. This session will demonstrate the benefits of a true Learner experience, discuss how Purdue built this tool and demonstrate its use.",Learning Exchange Showcase (60 minutes),Instructional Technology and Design,Higher Education,Intermediate,<p><strong>Addie Sweet</strong><br />Purdue University</p><p><strong>Ben Holmes</strong><br />Purdue University</p><p><strong>Leo Smith</strong><br />Purdue Universtiy</p><p><strong>Rob Faltemier</strong><br />Purdue University</p>
"July 08, 2024",2:15 - 3:15PM,LES: Another Learning Tool? Evolution of Our Learning Technologies Ecosystem,Mainstage Foyer,"The pandemic has accelerated the use of learning technologies that extend the functionality of Brightspace (myCourses). In this session, we will show you how our learning technologies ecosystem map has changed, how we manage the increasing number of third-party tools and how we keep our teaching community informed. Finally, we will also share some best practices and success stories.",Learning Exchange Showcase (60 minutes),Extensibility and Tech Ecosystem Integration,Higher Education,Intermediate,<p><strong>Donna Wong</strong><br />McGill University</p><p><strong>Teddy Quintoro</strong><br />McGill University</p>
"July 08, 2024",2:15 - 3:15PM,LES: Are You Tired of Wading Through Known Issues?,Mainstage Foyer,Are you tired of wading through endless rows of known issues in multiple documents? Have you spent hours upon hours comparing your reported issues with D2L's published known issues? Is your list so long that people don't want to look at it?,Learning Exchange Showcase (60 minutes),Third-Party Solutions,Higher Education,Intermediate,<p><strong>Kim Vossen</strong><br />Minnesota State Colleges and Universities</p>
"July 08, 2024",2:15 - 3:15PM,"LES: Development Tiers: How to Provide Flexible, Standardized Course Development That Satisfies Organizational Demand and Motivates Course Developers",Mainstage Foyer,The demand for course development can be burdensome within the higher education environment that utilizes a centralized model of course development. How can academic leadership approach development projects in a way that can both meet organizational demand and enable a high degree of satisfaction for course development teams? The answer: Development Tiers.,Learning Exchange Showcase (60 minutes),Leadership and Organizational Strategy,Higher Education,Novice,<p><strong>Jeff Lenhart</strong><br />triOS College</p>
"July 08, 2024",2:15 - 3:15PM,LES: Enhancing Online Education: The Faculty Engagement Dashboard and Regular Substantive Interaction (RSI),Mainstage Foyer,"Ensuring faculty engagement is crucial for student success and a fundamental requirement for online education, notably through Regular Substantive Interaction (RSI). RSI entails continuous and meaningful engagement between students and instructors in online courses, emphasizing teaching, learning, and assessment. At Pima Community College (PCC), our commitment to student success and enhancing RSI is exemplified by the introduction of a faculty engagement dashboard. Developed in collaboration with data analytics consultants from GCOM and ASR, this innovative tool provides a real-time, prioritized view of online courses in need of attention, based on key engagement metrics such as faculty course access, announcement frequency, grading timeliness, and depth of feedback to students.",Learning Exchange Showcase (60 minutes),Data and Analytics,Higher Education,Intermediate,<p><strong>John Van Weeren</strong><br />GCOM Software</p><p><strong>Michael Slattery</strong><br />GCOM Software</p><p><strong>Tony Sovak</strong><br />Pima Community College</p>
"July 08, 2024",2:15 - 3:15PM,"LES: Macro, Micro and Back Again: Flexibility Through Structure With an Instructional Technology Management Cycle",Mainstage Foyer,"Effectively managing multiple tech tools with varying timelines demands a structured strategy. Our instructional technology management cycle documents routine tasks foreseeing major projects and visualizing processes for clarity. This macro perspective ensures micro tasks align, optimizing tech usage while supporting users and helping the tech managers stay flexible and adapt to challenges ensuring seamless operations.",Learning Exchange Showcase (60 minutes),Change Management,Higher Education,Novice,<p><strong>Crystal Faulkner</strong><br />Austin Peay State University</p>
"July 08, 2024",2:15 - 3:15PM,LES: Maximizing Brightspace: Transformative Strategies for Engaging Learners From Day One to Graduation!,Mainstage Foyer,"Are you fully tapping into Brightspace's potential to ignite student engagement and foster academic success? Join us as we dive deep into innovative approaches to leverage Brightspace as more than just a content delivery platform. Discover how to captivate and inspire learners even before the first day of classes, and sustain their motivation throughout their academic journey. In this session, participants will embark on a journey to reimagine Brightspace as a dynamic online hub for building vibrant academic communities. We'll explore strategies for fostering mentorship, nurturing student success, and promoting equitable degree attainment in higher education. From identifying key student audience groups to outlining community needs and crafting intentional support systems, this session will equip you with actionable ideas and the compelling ""why"" behind them. Leave with tools and insights to transform your approach to online learning and take student success to new heights.",Learning Exchange Showcase (60 minutes),Personalized Learning,Association & Training Organizations,Advanced,<p><strong>Dolly Rosenbrook</strong><br />Front Range Community College</p><p><strong>Lindsay Shipman</strong><br />D2L Corporation</p>
"July 08, 2024",2:15 - 3:15PM,LES: Mind The Gap: Diagnostic Assessments to Feed Forward Learning,Mainstage Foyer,"The topic of diagnostic/baseline assessments is relevant to &ldquo;competency-based learning&rdquo; as we need to address where students have been and where they are at with their skill sets, competency and knowledge to ensure they are ready and able to access the curricula in their various courses. The session will begin with a presentation of various issues that have come to light in the Faculty of Computer Science at Dalhousie University, how diagnostic/baseline assessments informed instructors and students of learning gaps, and what types of interventions have been used in course delivery to facilitate student success. Participants will have an opportunity to discuss issues from their contexts and brainstorm takeaway ideas for implementation in Brightspace.",Learning Exchange Showcase (60 minutes),"Certification, Micro-Credentialing, Competency-based Learning",Higher Education,Intermediate,<p><strong>Stephanie Bernier</strong><br />Dalhousie University</p>
"July 08, 2024",2:15 - 3:15PM,LES: Using Analytics to Create Better Courses Through Survey Results,Mainstage Foyer,"Surveys can feel like a requirement rather than a key part of course development. Yet they give valuable insights into your students. The results can be combined with other metrics to give you an even fuller picture and help identify ways to improve your courses now. You can store data for future analysis, even if you aren't ready to take that step right now. Jump into the world of survey data, and learn to love this tool.",Learning Exchange Showcase (60 minutes),Data and Analytics,Higher Education,Intermediate,<p><strong>Susan Mcgee</strong><br />CPA Canada</p>
"July 08, 2024",2:15 - 3:15PM,Learning Exchange Showcase (LES),Mainstage Foyer,"The Learning Exchange Showcase (LES) will take place in the Mainstage Foyer from 2:15pm-3:15pm on Monday, July 8, right before the Opening Keynote. Grab a welcome drink and walk around to engage with the various LES presenters showcasing their work during this one-hour dedicated poster timeslot.",Learning Exchange Showcase (60 minutes),"Accessibility and Inclusive Learning, Certification, Micro-Credentialing, Competency-based Learning, Change Management, Data and Analytics, Extensibility and Tech Ecosystem Integration, Faculty and Trainer Development, Health, Sustainability and Wellness, Instructional Technology and Design, Leadership and Organizational Strategy, Learner Engagement, LMS Site Admin and IT Effectiveness, Personalized Learning, Third-Party Solutions","Association & Training Organizations, Corporate Learning, Higher Education, K-12","Advanced, Intermediate, Novice",
"July 08, 2024",3:30 - 3:45PM,LIVESTREAM: D2L Champions Spotlight,,"Join Fusion hosts Allison Sinclair, Anita Joshi and Barry Dahl for a Champions Spotlight.",Fusion On-Demand,On-Demand,,,
"July 08, 2024",3:30 - 3:45PM,MAINSTAGE: Fusion Welcome & D2L Champions Spotlight,Mainstage,"Join Fusion hosts Allison Sinclair, Anita Joshi and Barry Dahl for a welcome and the D2L Champions Spotlight. During the Spotlight, Allison and Anita will share information about several of our fabulous D2L Champions and tell you how you can become a Champion too.",Mainstage,"Accessibility and Inclusive Learning, AI (Artificial Intelligence), Augmented or Virtual Reality, Blended Learning or Hy-Flex, Certification, Micro-Credentialing, Competency-based Learning, Change Management, D2L Brightspace Training, D2L Solutions How To's/Tips and Tricks, Data and Analytics, Diversity, Equity and Inclusion, Extensibility and Tech Ecosystem Integration, Faculty and Trainer Development, Health, Sustainability and Wellness, Instructional Technology and Design, Leadership and Organizational Strategy, Learner Engagement, LMS Site Admin and IT Effectiveness, Online Instruction and Instructor/Trainer Presence, Personalized Learning, Student/Learner Success, Third-Party Solutions, Women in Learning and Development","Association & Training Organizations, Corporate Learning, Higher Education, K-12","Advanced, Intermediate, Novice",<p><strong>Allison Sinclair</strong><br />D2L</p><p><strong>Anita Joshi</strong><br />D2L</p><p><strong>Barry Dahl</strong><br />D2L</p>
"July 08, 2024",3:30 - 3:45PM,MAINSTAGE: Fusion Welcome & D2L Champions Spotlight,,"Join Fusion hosts Allison Sinclair, Anita Joshi and Barry Dahl for a welcome and Champions Spotlight.",Fusion On-Demand,,,,
"July 08, 2024",3:45 - 4:30PM,"LIVESTREAM: FUSION WELCOME KEYNOTE- John Baker, CEO of D2L",,"John Baker, D2L&rsquo;s CEO and founder, will the stage to talk about how learning will undergo its next transformation, powered by new technologies like artificial intelligence. Drawing on his 25 years as a learning innovator, John will share his perspective on how important it is that the learning experience remains profoundly human &ndash; and focused on personal outcomes. Join us at the Fusion main stage as John talks about how empathy and innovation can converge to help people around the world achieve more than they ever dreamed possible.",Fusion On-Demand,On-Demand,,,
"July 08, 2024",3:45 - 4:30PM,"MAINSTAGE: FUSION WELCOME KEYNOTE- John Baker, CEO of D2L",Mainstage,"John Baker, D2L&rsquo;s CEO and founder, will the stage to talk about how learning will undergo its next transformation, powered by new technologies like artificial intelligence. Drawing on his 25 years as a learning innovator, John will share his perspective on how important it is that the learning experience remains profoundly human &ndash; and focused on personal outcomes. Join us at the Fusion main stage as John talks about how empathy and innovation can converge to help people around the world achieve more than they ever dreamed possible.",Mainstage,"Accessibility and Inclusive Learning, AI (Artificial Intelligence), Augmented or Virtual Reality, Blended Learning or Hy-Flex, Certification, Micro-Credentialing, Competency-based Learning, Change Management, D2L Brightspace Training, D2L Solutions How To's/Tips and Tricks, Data and Analytics, Diversity, Equity and Inclusion, Extensibility and Tech Ecosystem Integration, Faculty and Trainer Development, Health, Sustainability and Wellness, Instructional Technology and Design, Leadership and Organizational Strategy, Learner Engagement, LMS Site Admin and IT Effectiveness, On-Demand, Online Instruction and Instructor/Trainer Presence, Personalized Learning, Student/Learner Success, Third-Party Solutions, Women in Learning and Development","Association & Training Organizations, Corporate Learning, Higher Education, K-12","Advanced, Intermediate, Novice",<p><strong>John Baker</strong><br />D2L</p>
"July 08, 2024",4:45 - 6:00PM,AFFINITY NETWORKING: Connected Women,105,Join Connected Women for networking.,Networking,Women in Learning and Development,"Association & Training Organizations, Corporate Learning, Higher Education, K-12","Advanced, Intermediate, Novice",
"July 08, 2024",4:45 - 6:00PM,AFFINITY NETWORKING: D2L Site Admins,John W. H. Bassett Theatre Foyer,Join us for networking with D2L Site Admins.,Networking,LMS Site Admin and IT Effectiveness,"Association & Training Organizations, Corporate Learning, Higher Education, K-12","Advanced, Intermediate, Novice",
"July 08, 2024",4:45 - 6:00PM,"AFFINITY NETWORKING: Inclusion, Diversity, Equity and Allyship (IDEA): Driving Change: Essentials of DEI",104 BCD,"<span class=""TextRun SCXW4256391 BCX0"" lang=""EN-US"" xml:lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW4256391 BCX0"">This interactive session will explore practical strategies and actionable steps for creating an inclusive workplace culture where all individuals feel valued, respected</span></span><span class=""TextRun SCXW4256391 BCX0"" lang=""EN-US"" xml:lang=""EN-US"" data-contrast=""auto""><span class=""NormalTextRun SCXW4256391 BCX0""> and empowered to contribute their unique perspectives. By the end of this session, attendees will gain practical tools and techniques to foster a more inclusive work environment, </span><span class=""NormalTextRun SCXW4256391 BCX0"">leverage</span><span class=""NormalTextRun SCXW4256391 BCX0""> the full potential of diverse talent, and drive organizational success in an increasingly diverse and interconnected world.</span></span><span class=""EOP SCXW4256391 BCX0"" data-ccp-props=""{}"">&nbsp;</span>",Networking,"Diversity, Equity and Inclusion","Association & Training Organizations, Corporate Learning, Higher Education, K-12","Advanced, Intermediate, Novice",<p><strong>Emma Lynch</strong><br /></p><p><strong>Kari Frisch</strong><br />Central Lakes College</p><p><strong>Puneet Kaur</strong><br />D2L</p><p><strong>Rabia Ijaz</strong><br />D2L</p><p><strong>Rob Belliveau</strong><br />Neon Train</p>
"July 08, 2024",4:45 - 6:00PM,AFFINITY NETWORKING: Instructional Technology and Design,Third Floor Foyer,Join us for networking around instructional technology and design.,Networking,Instructional Technology and Design,"Association & Training Organizations, Corporate Learning, Higher Education, K-12","Advanced, Intermediate, Novice",
"July 09, 2024",7:00 - 7:45AM,Jogging With John (Registration is required),Fairmount Royal York- Lobby Clock,"<p>Join D2L&rsquo;s CEO John Baker for a morning group run.&#8239;Space is limited and registration is required. You can register <a href=""https://app.smartsheet.com/b/form/585bc5b372a6436bbd7957d2747d4352"" target=""_blank"" rel=""noopener"">here</a>.&nbsp;</p><p><strong>Note:</strong> Meeting place for Jogging with John is the Fairmount Royal York, at the clock tower in the lobby.&nbsp;</p>",Wellness,"Health, Sustainability and Wellness","Association & Training Organizations, Corporate Learning, Higher Education, K-12","Advanced, Intermediate, Novice",<p><strong>John Baker</strong><br />D2L</p>
"July 09, 2024",7:00 - 7:45AM,Zumba With Roxana (Registration required),Fairmount Royal York- Confederation 5-6,"<p><span data-contrast=""auto"">Get ready to kick-start your morning with a blast of energy in our exhilarating fitness class that's bound to get your heart pumping and your feet moving to the rhythm of infectious Latin and international beats! This class is designed to be an absolute blast for everyone, whether you're a beginner or a seasoned pro. Just throw on your comfiest clothes and lace up those supportive sneakers, because we're about to embark on a dance-fueled adventure like no other</span><span data-contrast=""auto"">.</span><span data-contrast=""auto""> Our instructor will lead the way as we groove through a dynamic warm-up, master the basic rhythms and cap it all off with a sweet cooldown to bring those heart rates back down to earth. And trust us, by the time you're done, you'll be beaming from ear to ear with pure joy</span><span data-contrast=""auto"">.</span><span data-contrast=""auto""> So why wait for happiness to come knocking at your door? Grab life by the reins and make your own sunshine! Registration required. You can register </span><a href=""https://app.smartsheet.com/b/form/585bc5b372a6436bbd7957d2747d4352""><span data-contrast=""none"">here</span></a><span data-contrast=""auto"">. </span><span data-ccp-props=""{}"">&nbsp;</span></p><p><span data-ccp-props=""{}"">&nbsp;</span></p><p><strong><span data-contrast=""auto"">Note:</span></strong><span data-contrast=""auto""> Zumba will be taking place at Fairmount Royal York in Confederation 5-6, on the second floor.</span><span data-ccp-props=""{}"">&nbsp;</span></p>",Wellness,"Health, Sustainability and Wellness","Association & Training Organizations, Corporate Learning, Higher Education, K-12","Advanced, Intermediate, Novice",<p><strong>Roxana Pawliszyn</strong><br />D2L</p>
"July 09, 2024",8:00 - 9:00AM,Breakfast,Mainstage Foyer,,Meals,,,,
"July 09, 2024",8:00AM - 5:30PM,MAIN CONFERENCE REGISTRATION,Registration Foyer,,,,,,
"July 09, 2024",8:00AM - 5:30PM,Sensory Room,103 A,"<span class=""NormalTextRun SCXW5288167 BCX0"">Need a sensory break? Step into the Sensory Room where </span><span class=""NormalTextRun SCXW5288167 BCX0"">we&rsquo;ve</span><span class=""NormalTextRun SCXW5288167 BCX0""> adjusted the lighting, sounds and experiences to provide a space to decompress. Block out the world with some brown noise, sit or lay down in a variety of seating options, and experience different feeling sensations as the tension melts away from your body. Not needing that break but want to learn more about this concept? We invite you to come and explore but ask that you be mindful of others using the space.</span>",,,"Association & Training Organizations, Corporate Learning, Higher Education, K-12","Advanced, Intermediate, Novice",
